layer,accuracy,energy_ratio,energy_pj
original,0.9903,0.737857,1689447000000.0
batchnorm2d_1,0.9903,0.75282556,1723712000000.0
batchnorm2d_4,0.9904,0.77176154,1767082600000.0
batchnorm2d_8,0.9903,0.775319,1775222100000.0
batchnorm2d_11,0.9903,0.7777313,1780751500000.0
batchnorm2d_15,0.9903,0.77903616,1783743500000.0
batchnorm2d_18,0.9903,0.7808887,1787988800000.0
batchnorm2d_21,0.9903,0.78330034,1793514000000.0
batchnorm2d_25,0.9904,0.78513163,1797711200000.0
batchnorm2d_28,0.9903,0.7868453,1801636400000.0
batchnorm2d_31,0.9903,0.78799284,1804264800000.0
batchnorm2d_35,0.9907,0.7887946,1806100500000.0
batchnorm2d_38,0.9903,0.789782,1808362600000.0
batchnorm2d_41,0.9903,0.79089713,1810916700000.0
